time, id1, id2, amount, message
2016-11-02 09:38:53, 52, 3, 23.74, 🦄 
2016-11-02 09:38:53, 2, 6, 23.74, 🦄
2016-11-02 09:38:53, 3, 4, 8.66, Turkey bacon avacadoooooo
2016-11-02 09:38:53, 4, 5, 8.66, Turkey bacon avacadoooooo
2016-11-02 09:38:53, 5, 7, 8.66, Turkey bacon avacadoooooo
2016-11-02 09:38:53, 5, 6, 8552, 37.10, Pitcher 
2016-11-02 09:38:53, 7, 9,2562, 18.68, 🚕 
2016-11-02 09:38:53, 8, 9,2562, 18.68, 🚕 
2016-11-02 09:38:53, 11,13, 20.92, For your wife. 
2016-11-02 09:38:53, 17,18, 39.09, 🍺🍺🍺🏌🏌🏌 
2016-11-02 09:38:53, 50, 15, 21.74, 🚗
2016-11-02 09:38:53, 19, 18, 21.74, 🚗
2016-11-02 09:38:53, 5, 18, 21.74, 🚗
2016-11-02 09:38:53, 5, 19, 21.74, 🚗
2016-11-02 09:38:53, 50, 19, 21.74, 🚗
2016-11-02 09:38:53, 19, 5, 21.74, 🚗
2016-11-02 09:38:53, 51, 5, 21.74, 🚗
2016-11-02 09:38:53, 51, 1, 21.74, 🚗
2016-11-02 09:38:53, 49466, 6989, 23.74, 🦄 
2016-11-02 09:38:53, 7032, 34, 8.66, Turkey bacon avacadoooooo
2016-11-02 09:38:53, 52349, 8552, 37.10, Pitcher 
2016-11-02 09:38:53, 32639, 2562, 18.68, 🚕 
2016-11-02 09:38:53, 15381, 13167, 20.92, For your wife. 
2016-11-02 09:38:53, 17052, 6289, 39.09, 🍺🍺🍺🏌🏌🏌 
2016-11-02 09:38:53, 54008, 15138, 21.74, 🚗🌃 
2016-11-02 09:38:53, 74050, 45140, 36.92, Best hair stylist on the west coast... And rent 
2016-11-02 09:38:53, 46702, 8034, 32.07, Juice 
2016-11-02 09:38:53, 41480, 22688, 3.19, Milk 
2016-11-02 09:38:53, 47846, 6067, 14.96, ✨ 
2016-11-02 09:38:53, 54505, 9696, 20.00, Zombies 
2016-11-02 09:38:53, 18007, 9696, 20.00, Zombies 
2016-11-02 09:38:53, 18007, 498, 24.95, 💋💋💋 
2016-11-02 09:38:53, 49174, 6646, 22.98, 🌚🌚🌚🌚 
2016-11-02 09:38:53, 18007, 498, 24.95, 💋💋💋 
2016-11-02 09:38:53, 72459, 72460, 28.63, Debauchery in the form of adulting 
2016-11-02 09:38:53, 13238, 5795, 2.94, Garlic rosemary challah 
2016-11-02 09:38:53, 49509, 74670, 41.74, 🚕 
2016-11-02 09:38:53, 65203, 76387, 29.53, 🍗 
2016-11-02 09:38:53, 20711, 5504, 22.74, Delish 
2016-11-02 09:38:53, 67795, 23442, 3.42, Exterminating 
2016-11-02 09:38:53, 35494, 3009, 34.52, 🚕 
2016-11-02 09:38:53, 43424, 7413, 29.09, 🚕 💸 
2016-11-02 09:38:53, 16965, 52460, 14.95, 🎂🎉 
2016-11-02 09:38:53, 7032, 52460, 8.66, Turkey bacon avacadoooooo 
2016-11-02 09:38:53, 7032, 34, 8.66, Turkey bacon avacadoooooo 
2016-11-02 09:38:53, 9616, 3288, 20.11, I rented a movie on your Amazon prime 
2016-11-02 09:38:53, 29878, 42103, 2.20, Thanksss 
2016-11-02 09:38:53, 38452, 4697, 26.09, Blankie! 
2016-11-02 09:38:54, 43892, 11723, 20.05, Train 
2016-11-02 09:38:54, 21981, 31217, 4.60, Zaaaaaa 
2016-11-02 09:38:54, 65822, 19622, 21.90, 🎩 
2016-11-02 09:39:00, 36398, 10426, 10.21, Hummus 
2016-11-02 09:39:00, 41524, 42369, 30.18, Breakfast burrito 
2016-11-02 09:39:00, 9700, 18378, 31.92, Dinner
2016-11-02 09:39:19, 33591, 71463, 27.07, Tahoe booze 
2016-11-02 09:39:19, 25705, 15902, 15.44, 🍾🍾🍾🍾 
2016-11-02 09:39:19, 1934, 394, 23.67, Delicious sangria 
2016-11-02 09:39:19, 33067, 3426, 15.99, 🍽
